Source,Target,Attributes
217055005048902228226284608997662320714716127175,11,"{'avg_min_between_sent': 7.89, 'avg_min_between_received': 11289.95, 'time_diff': 124268.3, 'sent_txns': 10, 'received_txns': 11, 'min_value_received': 0.04, 'max_value_received': 33.998129, 'min_val_sent': 0.9878, 'max_val_sent': 33.997709, 'total_txns': 21, 'total_ether_sent': 132.9105338, 'total_ether_received': 132.9155139}"
616677552537218971325590212345509070486360114448,10,"{'avg_min_between_sent': 21.36, 'avg_min_between_received': 32654.11, 'time_diff': 326690.58, 'sent_txns': 7, 'received_txns': 10, 'min_value_received': 0.015, 'max_value_received': 1.99954, 'min_val_sent': 0.100242, 'max_val_sent': 1.994898, 'total_txns': 17, 'total_ether_sent': 3.62076535, 'total_ether_received': 3.63960512}"
1055797654973794064232534646113464969785747709014,1,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 0.0, 'time_diff': 21.9, 'sent_txns': 1, 'received_txns': 1, 'min_value_received': 1.99, 'max_value_received': 1.99, 'min_val_sent': 1.989496, 'max_val_sent': 1.989496, 'total_txns': 2, 'total_ether_sent': 1.989496, 'total_ether_received': 1.99}"
868816384804948963499877535761953696034573771329,3,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 1114.51, 'time_diff': 3343.53, 'sent_txns': 0, 'received_txns': 3, 'min_value_received': 0.005, 'max_value_received': 0.51, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 3, 'total_ether_sent': 0.0, 'total_ether_received': 1.015}"
48027042868646684245032298941671936911710704945,2,"{'avg_min_between_sent': 158.84, 'avg_min_between_received': 3.52, 'time_diff': 324.73, 'sent_txns': 2, 'received_txns': 2, 'min_value_received': 21.95358, 'max_value_received': 79.04642, 'min_val_sent': 17.332873, 'max_val_sent': 83.666101, 'total_txns': 4, 'total_ether_sent': 100.9989738, 'total_ether_received': 101.0}"
807124515889561401630459517809329810176452930746,110,"{'avg_min_between_sent': 287.78, 'avg_min_between_received': 4151.29, 'time_diff': 761108.43, 'sent_txns': 1058, 'received_txns': 110, 'min_value_received': 0.0, 'max_value_received': 3619.78, 'min_val_sent': 0.0, 'max_val_sent': 4300.0, 'total_txns': 1168, 'total_ether_sent': 15888.17811, 'total_ether_received': 15821.90416}"
51326286088423807863087040239747847498765797315,1,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 0.0, 'time_diff': 42393.82, 'sent_txns': 1, 'received_txns': 1, 'min_value_received': 1.548853, 'max_value_received': 1.548853, 'min_val_sent': 1.548403, 'max_val_sent': 1.548403, 'total_txns': 2, 'total_ether_sent': 1.548403419, 'total_ether_received': 1.54885256}"
980178823781013189812267483381767128359946598935,241,"{'avg_min_between_sent': 487.89, 'avg_min_between_received': 1179.15, 'time_diff': 907205.4, 'sent_txns': 1277, 'received_txns': 241, 'min_value_received': 0.0, 'max_value_received': 29.99, 'min_val_sent': 0.0, 'max_val_sent': 30.0, 'total_txns': 1518, 'total_ether_sent': 933.7778803, 'total_ether_received': 731.6256102000001}"
519810714088066853699785633982063876203328627272,56,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 4088.87, 'time_diff': 228976.47, 'sent_txns': 0, 'received_txns': 56, 'min_value_received': 0.0, 'max_value_received': 1.032319, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 57, 'total_ether_sent': 0.0, 'total_ether_received': 43.11641538}"
376157983325363469028923881995425231470276012245,15,"{'avg_min_between_sent': 7.76, 'avg_min_between_received': 20794.23, 'time_diff': 312029.88, 'sent_txns': 15, 'received_txns': 15, 'min_value_received': 0.02014, 'max_value_received': 1.989996, 'min_val_sent': 0.000462, 'max_val_sent': 1.988996, 'total_txns': 30, 'total_ether_sent': 9.034369028, 'total_ether_received': 9.046419677}"
466801877845034672393587509570934654306179185621,2,"{'avg_min_between_sent': 166.69, 'avg_min_between_received': 0.0, 'time_diff': 333.38, 'sent_txns': 2, 'received_txns': 2, 'min_value_received': 46.47412, 'max_value_received': 54.52588000000001, 'min_val_sent': 0.01, 'max_val_sent': 100.988974, 'total_txns': 4, 'total_ether_sent': 100.9989738, 'total_ether_received': 101.0}"
186986302852802737194758214776296697614196067156,2,"{'avg_min_between_sent': 163.19, 'avg_min_between_received': 0.37, 'time_diff': 327.12, 'sent_txns': 2, 'received_txns': 2, 'min_value_received': 20.00026, 'max_value_received': 80.99974, 'min_val_sent': 0.045, 'max_val_sent': 100.954016, 'total_txns': 4, 'total_ether_sent': 100.9990158, 'total_ether_received': 101.0}"
827396023704711772444530579623013157066021373047,1,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 0.0, 'time_diff': 2.02, 'sent_txns': 1, 'received_txns': 1, 'min_value_received': 0.538139, 'max_value_received': 0.538139, 'min_val_sent': 0.537519, 'max_val_sent': 0.537519, 'total_txns': 2, 'total_ether_sent': 0.537519, 'total_ether_received': 0.538139}"
399759678682023757900639438715836592043916858893,2,"{'avg_min_between_sent': 3.8, 'avg_min_between_received': 0.0, 'time_diff': 11.4, 'sent_txns': 3, 'received_txns': 2, 'min_value_received': 425.5106530000001, 'max_value_received': 1575.4893470000004, 'min_val_sent': 0.001, 'max_val_sent': 1488.581321, 'total_txns': 5, 'total_ether_sent': 2000.998585, 'total_ether_received': 2001.0}"
425552964388092488561158978583174886107757652800,13,"{'avg_min_between_sent': 22.8, 'avg_min_between_received': 256.03, 'time_diff': 3442.42, 'sent_txns': 5, 'received_txns': 13, 'min_value_received': 0.494, 'max_value_received': 9.0, 'min_val_sent': 3.989139, 'max_val_sent': 17.0, 'total_txns': 18, 'total_ether_sent': 43.0953918, 'total_ether_received': 42.5996968}"
668311765088400368629973990492071919212491304886,10,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 14169.01, 'time_diff': 141690.08, 'sent_txns': 0, 'received_txns': 10, 'min_value_received': 0.0, 'max_value_received': 37.19, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 11, 'total_ether_sent': 0.0, 'total_ether_received': 89.4886}"
666855302464103337968756188082704927895106907168,1,"{'avg_min_between_sent': 163.56, 'avg_min_between_received': 0.0, 'time_diff': 327.12, 'sent_txns': 2, 'received_txns': 1, 'min_value_received': 101.0, 'max_value_received': 101.0, 'min_val_sent': 0.5, 'max_val_sent': 100.499016, 'total_txns': 3, 'total_ether_sent': 100.9990158, 'total_ether_received': 101.0}"
382678682718507466372671890598534680717665002024,3,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 2806.36, 'time_diff': 24608.32, 'sent_txns': 1, 'received_txns': 3, 'min_value_received': 0.01, 'max_value_received': 0.993994, 'min_val_sent': 1.093659, 'max_val_sent': 1.093659, 'total_txns': 4, 'total_ether_sent': 1.093659, 'total_ether_received': 1.095612}"
1007527317580417331361600039444917211955144741526,7,"{'avg_min_between_sent': 34.72, 'avg_min_between_received': 1113.58, 'time_diff': 8038.07, 'sent_txns': 7, 'received_txns': 7, 'min_value_received': 0.1, 'max_value_received': 64.664897, 'min_val_sent': 0.099559, 'max_val_sent': 62.314999, 'total_txns': 14, 'total_ether_sent': 101.4072358, 'total_ether_received': 101.4105601}"
144232229021728543548351241132799863469407761780,84,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 2699.48, 'time_diff': 226756.72, 'sent_txns': 0, 'received_txns': 84, 'min_value_received': 0.0, 'max_value_received': 1.214625, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 85, 'total_ether_sent': 0.0, 'total_ether_received': 69.83363361}"
645876942186022453869596535153058229769190624493,30,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 6670.48, 'time_diff': 200114.43, 'sent_txns': 0, 'received_txns': 30, 'min_value_received': 0.0, 'max_value_received': 9.258666, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 31, 'total_ether_sent': 0.0, 'total_ether_received': 53.71106757}"
710933722605850896036473992819302829982137256203,9,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 311.91, 'time_diff': 8641.98, 'sent_txns': 1, 'received_txns': 9, 'min_value_received': 0.07715, 'max_value_received': 2.295124, 'min_val_sent': 7.3712240000000016, 'max_val_sent': 7.3712240000000016, 'total_txns': 10, 'total_ether_sent': 7.37122387, 'total_ether_received': 7.37227387}"
982560155294701323724811461153669770923744823224,1,"{'avg_min_between_sent': 156.46, 'avg_min_between_received': 0.0, 'time_diff': 312.92, 'sent_txns': 2, 'received_txns': 1, 'min_value_received': 101.0, 'max_value_received': 101.0, 'min_val_sent': 1.523688, 'max_val_sent': 99.474883, 'total_txns': 3, 'total_ether_sent': 100.9985715, 'total_ether_received': 101.0}"
625834707444382037488695784349901008259727302979,769,"{'avg_min_between_sent': 39.81, 'avg_min_between_received': 706.02, 'time_diff': 572313.23, 'sent_txns': 738, 'received_txns': 769, 'min_value_received': 0.529201, 'max_value_received': 13.582823, 'min_val_sent': 0.527622, 'max_val_sent': 13.582184, 'total_txns': 1507, 'total_ether_sent': 964.0029853, 'total_ether_received': 964.755533}"
520719223373948365029077556602225689526712640860,59,"{'avg_min_between_sent': 886.62, 'avg_min_between_received': 4185.14, 'time_diff': 261109.33, 'sent_txns': 16, 'received_txns': 59, 'min_value_received': 0.20002, 'max_value_received': 10.0, 'min_val_sent': 0.601945, 'max_val_sent': 9.999138, 'total_txns': 75, 'total_ether_sent': 27.09619536, 'total_ether_received': 27.51492371}"
629623278053074454427047813445372372886708563546,2,"{'avg_min_between_sent': 1.46, 'avg_min_between_received': 0.0, 'time_diff': 4.37, 'sent_txns': 3, 'received_txns': 2, 'min_value_received': 943.31416, 'max_value_received': 1057.68584, 'min_val_sent': 50.9, 'max_val_sent': 1050.718699, 'total_txns': 5, 'total_ether_sent': 2000.998585, 'total_ether_received': 2001.0}"
673124843982090356472157150186352454079705034344,7425,"{'avg_min_between_sent': 5.43, 'avg_min_between_received': 5.01, 'time_diff': 51182.03, 'sent_txns': 2575, 'received_txns': 7425, 'min_value_received': 2.5e-05, 'max_value_received': 20000.0, 'min_val_sent': 0.0, 'max_val_sent': 23519.82888, 'total_txns': 10000, 'total_ether_sent': 94370.33921, 'total_ether_received': 97881.35701}"
875642966489805769339394026512917475953439785695,33,"{'avg_min_between_sent': 3833.93, 'avg_min_between_received': 1804.19, 'time_diff': 538779.32, 'sent_txns': 125, 'received_txns': 33, 'min_value_received': 0.008, 'max_value_received': 20.99, 'min_val_sent': 0.0, 'max_val_sent': 21.0, 'total_txns': 158, 'total_ether_sent': 339.4891919, 'total_ether_received': 186.2137168}"
306323955891728081916119181654621415074420368900,69,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 4627.71, 'time_diff': 319312.13, 'sent_txns': 0, 'received_txns': 69, 'min_value_received': 0.0, 'max_value_received': 1.004336, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 70, 'total_ether_sent': 0.0, 'total_ether_received': 55.30887946}"
296284107416928298189106483886265847807386701626,8,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 626.72, 'time_diff': 5013.77, 'sent_txns': 0, 'received_txns': 8, 'min_value_received': 2e-06, 'max_value_received': 5.0, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 8, 'total_ether_sent': 0.0, 'total_ether_received': 17.03988258}"
703705352717834887217092884454557892216377889749,2,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 2860.03, 'time_diff': 216675.57, 'sent_txns': 1, 'received_txns': 2, 'min_value_received': 0.5, 'max_value_received': 1.0, 'min_val_sent': 1.499139, 'max_val_sent': 1.499139, 'total_txns': 3, 'total_ether_sent': 1.499139, 'total_ether_received': 1.5}"
1399310445652260791396483402182208073458285900286,5,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 2244.76, 'time_diff': 36343.53, 'sent_txns': 1, 'received_txns': 5, 'min_value_received': 0.51, 'max_value_received': 0.993237, 'min_val_sent': 3.172187, 'max_val_sent': 3.172187, 'total_txns': 6, 'total_ether_sent': 3.17218705, 'total_ether_received': 3.17323705}"
1163767318631739253527915150717165519845390345863,2,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 44.55, 'time_diff': 40012.25, 'sent_txns': 1, 'received_txns': 2, 'min_value_received': 0.012972, 'max_value_received': 0.700418, 'min_val_sent': 0.71295, 'max_val_sent': 0.71295, 'total_txns': 3, 'total_ether_sent': 0.71294951, 'total_ether_received': 0.71339051}"
328197133434013893324191104943678294230858547098,210,"{'avg_min_between_sent': 230.52, 'avg_min_between_received': 4123.1, 'time_diff': 912647.1, 'sent_txns': 203, 'received_txns': 210, 'min_value_received': 0.017877, 'max_value_received': 2.494, 'min_val_sent': 0.016617, 'max_val_sent': 2.493265, 'total_txns': 413, 'total_ether_sent': 70.05978547, 'total_ether_received': 70.21749861}"
700576135129480333207931410008272415231963127130,1,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 0.0, 'time_diff': 21.82, 'sent_txns': 1, 'received_txns': 1, 'min_value_received': 0.434972, 'max_value_received': 0.434972, 'min_val_sent': 0.434468, 'max_val_sent': 0.434468, 'total_txns': 2, 'total_ether_sent': 0.43446773, 'total_ether_received': 0.43497173}"
1045897290031034070147158944584240342264543368918,6,"{'avg_min_between_sent': 1935.0, 'avg_min_between_received': 350.97, 'time_diff': 7910.8, 'sent_txns': 3, 'received_txns': 6, 'min_value_received': 0.1, 'max_value_received': 1.68, 'min_val_sent': 0.01, 'max_val_sent': 4.1639940000000015, 'total_txns': 9, 'total_ether_sent': 4.206968652, 'total_ether_received': 4.210979652}"
1276871051449443142790189572443047852466654751023,4,"{'avg_min_between_sent': 6711.42, 'avg_min_between_received': 569.5, 'time_diff': 29123.65, 'sent_txns': 4, 'received_txns': 4, 'min_value_received': 0.04788, 'max_value_received': 4.98, 'min_val_sent': 0.01, 'max_val_sent': 5.014436, 'total_txns': 8, 'total_ether_sent': 6.44443627, 'total_ether_received': 6.44788027}"
1205762409602232726648312137422105844931063438781,39,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 552.79, 'time_diff': 562550.65, 'sent_txns': 1, 'received_txns': 39, 'min_value_received': 0.0, 'max_value_received': 9.0, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 40, 'total_ether_sent': 0.0, 'total_ether_received': 45.65080346}"
237562985781334766846375785639802284920618241347,2,"{'avg_min_between_sent': 2.11, 'avg_min_between_received': 0.0, 'time_diff': 6.32, 'sent_txns': 3, 'received_txns': 2, 'min_value_received': 369.006424, 'max_value_received': 1631.993576, 'min_val_sent': 4.4051550000000015, 'max_val_sent': 1196.214343, 'total_txns': 5, 'total_ether_sent': 2000.998585, 'total_ether_received': 2001.0}"
867751025443408610715510046596419202769940962167,20,"{'avg_min_between_sent': 6.66, 'avg_min_between_received': 6501.21, 'time_diff': 130157.37, 'sent_txns': 20, 'received_txns': 20, 'min_value_received': 1.0, 'max_value_received': 410.0, 'min_val_sent': 0.998725, 'max_val_sent': 409.999392, 'total_txns': 40, 'total_ether_sent': 2343.382229, 'total_ether_received': 2343.395493}"
727619116358979496893800538053250655393673443504,1164,"{'avg_min_between_sent': 47.76, 'avg_min_between_received': 1038.38, 'time_diff': 1223339.25, 'sent_txns': 307, 'received_txns': 1164, 'min_value_received': 0.195272, 'max_value_received': 10.29, 'min_val_sent': 0.5988720000000001, 'max_val_sent': 10.398401, 'total_txns': 1471, 'total_ether_sent': 301.6458016, 'total_ether_received': 302.3484136}"
137134065615221535769829282664382641253785432737,3,"{'avg_min_between_sent': 4.77, 'avg_min_between_received': 50534.92, 'time_diff': 151619.07, 'sent_txns': 3, 'received_txns': 3, 'min_value_received': 2.0, 'max_value_received': 30.04, 'min_val_sent': 1.9988, 'max_val_sent': 30.039392, 'total_txns': 6, 'total_ether_sent': 38.03748251, 'total_ether_received': 38.04}"
43625584310772830889350845026958416566122193957,18,"{'avg_min_between_sent': 464.26, 'avg_min_between_received': 33817.19, 'time_diff': 615209.03, 'sent_txns': 14, 'received_txns': 18, 'min_value_received': 0.0833309999999999, 'max_value_received': 0.388273, 'min_val_sent': 0.056, 'max_val_sent': 0.49, 'total_txns': 32, 'total_ether_sent': 2.85065524, 'total_ether_received': 3.07638424}"
699858179552065064152583075007524057967283153989,125,"{'avg_min_between_sent': 353.9, 'avg_min_between_received': 4780.8, 'time_diff': 639006.98, 'sent_txns': 117, 'received_txns': 125, 'min_value_received': 0.010031, 'max_value_received': 1.00084, 'min_val_sent': 0.009191, 'max_val_sent': 1.000349, 'total_txns': 242, 'total_ether_sent': 38.40028570000001, 'total_ether_received': 38.46315284}"
292639141473805509603896800275812374199157478455,2,"{'avg_min_between_sent': 24.16, 'avg_min_between_received': 0.18, 'time_diff': 72.85, 'sent_txns': 3, 'received_txns': 2, 'min_value_received': 17.094391, 'max_value_received': 83.905609, 'min_val_sent': 0.025, 'max_val_sent': 55.84375, 'total_txns': 5, 'total_ether_sent': 100.998446, 'total_ether_received': 101.0}"
1059251067017165236339412810245002163953011261335,11,"{'avg_min_between_sent': 115241.5, 'avg_min_between_received': 6096.49, 'time_diff': 297544.4, 'sent_txns': 2, 'received_txns': 11, 'min_value_received': 0.017083, 'max_value_received': 7.395, 'min_val_sent': 1.0, 'max_val_sent': 39.107843, 'total_txns': 13, 'total_ether_sent': 40.10784315, 'total_ether_received': 40.10872515}"
1163018488028826709015703331759480438134763131282,1,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 0.0, 'time_diff': 14.48, 'sent_txns': 1, 'received_txns': 1, 'min_value_received': 0.181754, 'max_value_received': 0.181754, 'min_val_sent': 0.166754, 'max_val_sent': 0.166754, 'total_txns': 2, 'total_ether_sent': 0.16675425, 'total_ether_received': 0.18175425}"
